###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59623.486718  20.672  0.881    20   17 o  0   0.91 190.74695  48.37041  4657.37   719.98 2.08 1.86 -55.3 -0.461 19.12 19.79 02a59623o0612o
59623.495433  22.364  3.538     4   15 o  0   1.55 190.74695  48.37041  4638.18   838.97 2.09 1.95  68.0 -0.450 19.11 19.83 02a59623o0631o
59624.517225 -21.588  2.761    -8   23 o  0   1.34 190.74695  48.37041  1888.70  7500.17 2.97 2.54 -46.6 -0.488 18.85 19.72 01a59624o0674o
59624.520494 -22.249  4.792    -5   22 o  0   1.46 190.74695  48.37041  1869.01  7461.54 3.08 2.61 -46.4 -0.476 18.80 19.71 01a59624o0681o
59624.523718  20.047  0.690    35   24 o  0   1.19 190.74695  48.37041  1927.89  7536.12 2.99 2.60 -45.4 -0.479 18.78 19.72 01a59624o0688o
59624.528811  21.379  2.370    10   24 o  0   0.92 190.74695  48.37041  1945.04  7417.33 3.01 2.61 -43.6 -0.481 18.82 19.73 01a59624o0699o
59625.426139  21.054  1.813    14   25 o  0   1.48 190.74695  48.37041  4692.99   758.49 2.28 2.06 -58.9 -0.446 18.60 18.88 02a59625o0388o
59625.430132  20.427  1.098    24   27 o  0   0.91 190.74695  48.37041  4709.63   799.61 2.29 2.12 -58.6 -0.447 18.54 18.91 02a59625o0395o
59625.433096 -20.652  1.241   -20   25 o  0   1.43 190.74695  48.37041  4654.19   720.65 2.22 1.99 -59.7 -0.466 18.63 18.93 02a59625o0400o
59625.445478  22.177  4.617     5   23 o  0   1.65 190.74695  48.37041  4635.03   836.28 2.05 1.91 -60.1 -0.465 18.75 18.98 02a59625o0427o
59625.564418 -21.631  3.333    -8   27 o  0   1.28 190.74695  48.37041  8629.01  3053.18 3.16 2.66 -63.8 -0.515 18.59 19.41 01a59625o0407o
59625.567657  20.753  1.333    18   24 o  0   1.33 190.74695  48.37041  8651.14  3091.62 3.07 2.68 -62.0 -0.505 18.59 19.41 01a59625o0414o
59625.573212  21.524  2.592     9   23 o  0   1.44 190.74695  48.37041  8594.28  3017.75 2.84 2.61 -59.3 -0.507 18.66 19.42 01a59625o0426o
59625.608567  19.466  0.407    59   24 o  0   1.35 190.74695  48.37041  8587.66  3136.61 3.34 2.80 -62.0 -0.503 18.50 19.39 01a59625o0502o
59626.490096  19.273  0.711    71   50 o  0   1.03 190.74695  48.37041 10503.49  6842.81 2.29 2.16 -51.8 -0.455 18.58 18.78 02a59626o0592o
59626.491995  18.542 12.027   139 1673 o  0   0.00 190.74695  48.37041 10524.46  6881.57 2.31 2.13 -56.3 -0.465 18.62 18.80 02a59626o0596o
59626.492452 -20.104  0.691   -33   23 o  0   1.04 190.74695  48.37041   614.57  6860.01 1.98 1.85 -53.4 -0.432 18.62 18.82 02a59626o0597o
59626.494748 -21.305  2.127   -11   23 o  0   1.20 190.74695  48.37041   634.33  6899.91 2.04 1.83 -57.2 -0.458 18.60 18.84 02a59626o0602o
59626.495206 -20.590  1.370   -21   29 o  0   1.72 190.74695  48.37041 10464.65  6807.20 2.21 2.09 -59.1 -0.459 18.63 18.81 02a59626o0603o
59626.503093  20.440  1.074    24   26 o  0   1.08 190.74695  48.37041   570.10  6823.29 2.10 2.02 -67.3 -0.400 18.62 18.87 02a59626o0619o
59626.504921  20.313  1.039    27   28 o  0   1.24 190.74695  48.37041 10445.05  6925.44 2.39 2.17 -56.6 -0.443 18.60 18.83 02a59626o0623o
59626.510427 -20.846  1.429   -17   24 o  0   1.23 190.74695  48.37041   553.99  6935.29 2.16 1.96 -55.9 -0.426 18.62 18.88 02a59626o0635o
59627.511534 -20.023  1.095   -36   39 o  0   1.11 190.74695  48.37041 10505.37  6848.02 2.26 2.12 -57.2 -0.456 18.67 18.84 02a59627o0665o
59627.513817  16.544  1.821   876 1594 o  0   0.01 190.74695  48.37041 10526.58  6886.85 2.28 2.09 -55.9 -0.445 18.67 18.84 02a59627o0670o
59627.517015 -21.273  2.955   -11   33 o  0   1.45 190.74695  48.37041 10465.78  6812.17 2.21 2.16 -45.3 -0.486 18.67 18.85 02a59627o0677o
59627.522499 -20.263  1.043   -28   30 o  0   1.24 190.74695  48.37041 10447.37  6931.30 2.23 2.11 -57.0 -0.468 18.65 18.87 02a59627o0689o
59627.526156 -24.097 25.333    -1   21 o  0   1.74 190.74695  48.37041   617.06  6864.08 1.92 1.89 -38.5 -0.433 18.75 18.92 02a59627o0697o
59627.527983  21.908  3.303     6   21 o  0   1.48 190.74695  48.37041   636.59  6904.12 1.90 1.88 -18.3 -0.453 18.69 18.92 02a59627o0701o
59627.531183  19.633  0.396    51   20 o  0   1.50 190.74695  48.37041   577.67  6823.62 1.96 1.93 -58.3 -0.421 18.63 18.93 02a59627o0708o
59627.546139  20.098  0.772    33   26 o  0   1.08 190.74695  48.37041   558.50  6938.57 2.03 1.98 -14.6 -0.425 18.70 18.95 02a59627o0740o
59627.551186 -20.341  1.301   -26   34 o  0   1.21 190.74695  48.37041  8623.04  3050.76 3.02 2.72 -63.8 -0.493 18.31 18.93 01a59627o0599o
59627.566803 -20.843  2.105   -17   35 o  0   1.19 190.74695  48.37041  8647.62  3088.59 2.98 2.65 -60.1 -0.501 18.34 18.94 01a59627o0631o
59627.580970  21.301  3.082    11   34 o  0   1.17 190.74695  48.37041  8594.43  3015.00 2.79 2.73  19.9 -0.466 18.41 18.96 01a59627o0659o
59627.604730  20.249  1.101    29   32 o  0   1.29 190.74695  48.37041  8586.11  3135.71 3.13 2.76 -61.7 -0.486 18.31 19.05 01a59627o0709o
59629.465027 -22.106  7.690    -5   40 o  0   1.02 190.74695  48.37041  1889.21  7506.81 2.88 2.62 -47.3 -0.478 18.62 19.31 01a59629o0464o
59629.468250  20.409  1.493    25   37 o  0   1.10 190.74695  48.37041  1869.75  7465.52 2.86 2.74 -84.0 -0.447 18.56 19.32 01a59629o0471o
59629.474673 -25.743 162.000    -0   30 o  0   1.50 190.74695  48.37041  1928.13  7539.67 2.90 2.66 -49.4 -0.468 18.61 19.33 01a59629o0485o
59629.483365 -19.121  0.402   -82   33 o  0   0.96 190.74695  48.37041  1946.38  7421.40 2.88 2.68 -58.2 -0.458 18.60 19.34 01a59629o0504o
59631.459154 -20.658  0.665   -20   13 o  0   1.07 190.74695  48.37041   605.55  6859.15 2.27 1.90  33.1 -0.408 19.16 19.96 02a59631o0551o
59631.466496  19.976  0.348    37   13 o  0   1.78 190.74695  48.37041   634.28  6901.33 1.92 1.89  51.0 -0.452 19.23 19.99 02a59631o0567o
59631.472083  21.267  1.347    11   15 o  0   1.08 190.74695  48.37041   574.14  6819.92 1.94 1.89  43.7 -0.440 19.25 20.02 02a59631o0579o
59631.480843  21.562  1.242     9   11 o  0   1.85 190.74695  48.37041   553.48  6936.30 1.92 1.90 -33.3 -0.452 19.30 20.06 02a59631o0598o
59631.500517 -21.361  2.536   -10   26 o  0   1.06 190.74695  48.37041 10506.63  6848.70 2.22 2.17  52.3 -0.454 19.29 20.12 02a59631o0640o
59631.504718 -20.937 17.410   -15  267 o  0   0.01 190.74695  48.37041 10525.36  6887.13 2.22 2.20 -30.8 -0.449 19.29 20.12 02a59631o0649o
59631.510222 -22.155  2.675    -5   13 o  0   1.78 190.74695  48.37041 10466.98  6811.65 2.38 2.09  35.7 -0.453 19.22 20.10 02a59631o0661o
59631.515730 -20.963  0.916   -15   14 o  0   1.08 190.74695  48.37041 10447.16  6929.77 2.28 2.14  33.9 -0.458 19.29 20.12 02a59631o0673o
59632.509293  20.955  1.041    15   16 o  0   1.00 190.74695  48.37041  7965.01  3687.23 3.02 2.89 -56.6 -0.459 19.17 20.53 01a59632o0659o
59632.516721  20.505  0.690    23   16 o  0   1.37 190.74695  48.37041  7944.06  3647.34 2.93 2.78 -59.6 -0.466 19.16 20.50 01a59632o0675o
59632.518547 -20.756  0.783   -18   14 o  0   1.10 190.74695  48.37041  8003.80  3724.74 2.93 2.82 -57.2 -0.468 19.21 20.57 01a59632o0679o
59632.538480 -23.407  9.250    -2   15 o  0   1.16 190.74695  48.37041  8019.65  3604.85 2.96 2.82 -67.7 -0.462 19.21 20.54 01a59632o0721o
59633.517829  21.178  1.226    12   15 o  0   0.91 190.74695  48.37041  7965.43  3680.64 2.91 2.89 -60.0 -0.449 19.21 20.64 01a59633o0686o
59633.521051 -21.776  2.194    -7   16 o  0   0.81 190.74695  48.37041  7944.68  3640.30 2.92 2.88  47.6 -0.448 19.22 20.63 01a59633o0693o
59633.526531  22.238  3.417     5   16 o  0   0.71 190.74695  48.37041  8004.39  3718.38 2.91 2.78 -55.2 -0.462 19.27 20.62 01a59633o0705o
